model_family,config_label,primary_metric_name,primary_metric_value,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,desktop_inference_ms_median,desktop_inference_ms_p95,model_size_kb
XGBoost,"n=300,depth=7,lr=0.08",f1_mean,0.373093568566571,0.799918196275516,0.0056478897854824,0.373093568566571,0.0068385068831432,0.7370213584047158,0.0056204410363606,0.0057079999824054,0.0075779449485708,2086.0771484375
XGBoost,"n=200,depth=7,lr=0.08",f1_mean,0.3700651070568682,0.7953935680630374,0.0068027271639189,0.3700651070568682,0.0066106102620682,0.738363632688167,0.0057235343529906,0.0041782999760471,0.0053561950393486,1426.09375
XGBoost,"n=150,depth=6,lr=0.08",f1_mean,0.3587674909236974,0.7798319837923309,0.0077672461528348,0.3587674909236974,0.0089540139829094,0.7366532513434308,0.0050447393783732,0.0033083999878726,0.0067239850817713,648.95703125
XGBoost,"n=100,depth=5,lr=0.08",f1_mean,0.3432108661341912,0.7596591104194108,0.0058376548069812,0.3432108661341912,0.0083171379461157,0.7332549152177432,0.0049434852209573,0.0038557500811293,0.0049438400368671,262.3095703125
XGBoost,"n=80,depth=4,lr=0.08",f1_mean,0.3334834681999516,0.7443298935761605,0.0057084807586367,0.3334834681999516,0.0084824868780423,0.7286099562795727,0.0060703066896771,0.002302500011865,0.0039346849254798,134.12890625
XGBoost,"n=50,depth=3,lr=0.1",f1_mean,0.3243743583659021,0.7303203295094478,0.0049124732156431,0.3243743583659021,0.0079908037499405,0.7226334741883838,0.0057391300659033,0.0031054000137373,0.003770384954987,57.970703125
LSTM,"units=64,layers=2,dense=16",test_mse (lower=better),5.600442818831653e-05,,,,,,,0.0878019999945536,0.1034908399626147,638.8515625
LSTM,"units=32,layers=2,dense=16",test_mse (lower=better),5.8129156968789175e-05,,,,,,,0.0971785000292584,0.1161112850473728,195.8359375
LSTM,"units=32,layers=1,dense=16",test_mse (lower=better),4.54923247161787e-05,,,,,,,0.0926729000057093,0.114077385031851,90.34375
LSTM,"units=16,layers=1,dense=8",test_mse (lower=better),4.713690577773377e-05,,,,,,,0.1041690500569529,0.1292167049658019,48.3046875
LSTM,"units=8,layers=1,dense=4",test_mse (lower=better),3.482849569991231e-05,,,,,,,0.103390349948313,0.1222035249811597,38.3046875
