config_label,lstm_units,num_lstm_layers,dense_units,seed,test_mse,test_mae
baseline_64_2_16,64,2,16,42,5.7947225286625326e-05,0.00494337035343051
baseline_64_2_16,64,2,16,1,6.10778879490681e-05,0.005421458277851343
baseline_64_2_16,64,2,16,7,4.2725638195406646e-05,0.004124428611248732
baseline_64_2_16,64,2,16,123,5.976827014819719e-05,0.004992011468857527
baseline_64_2_16,64,2,16,2024,5.83201544941403e-05,0.005167162511497736
candidate_16_1_8,16,1,8,42,6.796237721573561e-05,0.005990027450025082
candidate_16_1_8,16,1,8,1,4.191802872810513e-05,0.003961178008466959
candidate_16_1_8,16,1,8,7,3.2587224268354475e-05,0.0034821387380361557
candidate_16_1_8,16,1,8,123,4.766858910443261e-05,0.004404797684401274
candidate_16_1_8,16,1,8,2024,3.680979716591537e-05,0.004025194328278303
