variant,seed,test_mse,test_mae,epochs_run,stopped_epoch,best_val_loss,final_train_loss
default_adam_patience8,42,9.048734500538558e-05,0.0069061582908034325,50,50,8.928051101975143e-05,8.487183367833495e-05
default_adam_patience8,1,4.020581400254741e-05,0.004046620335429907,50,50,3.921992902178317e-05,3.867528721457347e-05
default_adam_patience8,7,3.217252015019767e-05,0.0033813067711889744,50,50,3.141270644846372e-05,3.04428358504083e-05
default_adam_patience8,123,7.302519952645525e-05,0.006155453622341156,50,50,7.22442491678521e-05,6.141798803582788e-05
default_adam_patience8,2024,4.104120671399869e-05,0.004165229853242636,50,50,3.988725438830443e-05,3.991605626652017e-05
longer_patience20,42,2.762747317319736e-05,0.002764469012618065,80,80,2.681029582163319e-05,2.5599718355806544e-05
longer_patience20,1,3.974996798206121e-05,0.0040407972410321236,80,80,3.838089105556719e-05,2.9047554562566802e-05
longer_patience20,7,3.061091047129594e-05,0.003174231620505452,80,80,2.984256570925936e-05,2.8388973078108393e-05
longer_patience20,123,3.75686795450747e-05,0.003976346924901009,80,80,3.784970613196492e-05,3.5018489143112674e-05
longer_patience20,2024,3.471417949185707e-05,0.004129614215344191,80,80,3.402266884222627e-05,3.4552016586530954e-05
lower_lr_3e4,42,8.77465499797836e-05,0.007180413696914911,80,80,8.731648995308205e-05,8.45203030621633e-05
lower_lr_3e4,1,5.788999260403216e-05,0.005145781207829714,80,80,5.6493605370633304e-05,5.7513239880790934e-05
lower_lr_3e4,7,0.0972084328532219,0.2771241068840027,65,64,0.09724469482898712,0.09707190096378326
lower_lr_3e4,123,3.218824349460192e-05,0.0037311611231416464,80,80,3.146671588183381e-05,3.0302853701869026e-05
lower_lr_3e4,2024,4.070143404533155e-05,0.004450103268027306,80,80,4.0098148019751534e-05,3.7959693145239726e-05
grad_clip_norm1,42,3.480336454231292e-05,0.0037012791726738214,80,80,3.403676237212494e-05,3.368218312971294e-05
grad_clip_norm1,1,2.978493648697622e-05,0.0030787838622927666,80,80,2.92909153358778e-05,2.5788160201045685e-05
grad_clip_norm1,7,5.145093746250495e-05,0.0049100760370492935,80,80,5.045308353146538e-05,5.0286034820601344e-05
grad_clip_norm1,123,0.09720883518457413,0.2771212160587311,39,38,0.09724470973014832,0.09708093851804733
grad_clip_norm1,2024,5.095649976283312e-05,0.005156093277037144,80,80,5.074669752502814e-05,5.1516934036044404e-05
lower_lr_and_clip,42,0.0972030982375145,0.2771831154823303,40,39,0.09724798053503036,0.0970715656876564
lower_lr_and_clip,1,4.594902566168457e-05,0.004553399048745632,80,80,4.484875898924656e-05,4.326363341533579e-05
lower_lr_and_clip,7,4.185507714282721e-05,0.004259051755070686,80,80,4.110607551410794e-05,3.943260890082456e-05
lower_lr_and_clip,123,4.887408795184456e-05,0.004844860639423132,80,80,4.836745938519016e-05,4.543474642559886e-05
lower_lr_and_clip,2024,4.3144351366208866e-05,0.004542436450719833,80,80,4.2146410123677924e-05,3.939290763810277e-05
