config_label,lstm_units,num_lstm_layers,dense_units,seed,test_mse,test_mae
baseline,64,2,16,42,6.250668957363814e-05,0.005591739900410175
baseline,64,2,16,1,6.562369526363909e-05,0.0054192449897527695
baseline,64,2,16,7,4.799813905265182e-05,0.005288596265017986
baseline,64,2,16,123,6.848755583632737e-05,0.005402859300374985
baseline,64,2,16,2024,4.5771183067699894e-05,0.005242740735411644
smallest,8,1,4,42,3.5612916690297425e-05,0.0036469281185418367
smallest,8,1,4,1,2.9612061553052627e-05,0.003236120566725731
smallest,8,1,4,7,3.405758616281673e-05,0.003598322393372655
smallest,8,1,4,123,4.326885027694516e-05,0.004083447158336639
smallest,8,1,4,2024,0.09720317274332047,0.27718183398246765
