seed_offset,seed,num_nodes_base,malicious_pct,distribution,baseline_compromised_pct,trust_aware_compromised_pct,trust_aware_clustering_compromised_pct,soft_cost_compromised_pct,valid_route_pairs
0,525,500,0.25,random,93.88,8.16,8.16,6.12,49
1,1525,500,0.25,random,82.0,2.0,2.0,6.0,50
2,2525,500,0.25,random,94.0,4.0,4.0,4.0,50
3,3525,500,0.25,random,84.0,2.0,2.0,2.0,50
4,4525,500,0.25,random,90.0,6.0,6.0,16.0,50
5,5525,500,0.25,random,88.0,0.0,0.0,2.0,50
6,6525,500,0.25,random,86.0,0.0,0.0,8.0,50
7,7525,500,0.25,random,82.0,4.0,4.0,6.0,50
8,8525,500,0.25,random,92.0,18.0,18.0,32.0,50
9,9525,500,0.25,random,86.0,6.0,6.0,6.0,50
10,10525,500,0.25,random,84.0,10.0,10.0,18.0,50
11,11525,500,0.25,random,94.0,4.0,4.0,4.0,50
12,12525,500,0.25,random,80.0,16.0,16.0,14.0,50
13,13525,500,0.25,random,90.0,2.0,2.0,2.0,50
14,14525,500,0.25,random,96.0,20.0,20.0,20.0,50
0,525,500,0.25,clustered,61.22,42.86,42.86,44.9,49
1,1525,500,0.25,clustered,78.0,30.0,30.0,30.0,50
2,2525,500,0.25,clustered,84.0,38.0,38.0,40.0,50
3,3525,500,0.25,clustered,44.0,38.0,38.0,38.0,50
4,4525,500,0.25,clustered,44.0,28.0,28.0,28.0,50
5,5525,500,0.25,clustered,58.0,38.0,38.0,38.0,50
6,6525,500,0.25,clustered,42.0,28.0,28.0,28.0,50
7,7525,500,0.25,clustered,44.0,40.0,40.0,40.0,50
8,8525,500,0.25,clustered,66.0,26.0,26.0,26.0,50
9,9525,500,0.25,clustered,34.0,28.0,28.0,28.0,50
10,10525,500,0.25,clustered,50.0,46.0,46.0,46.0,50
11,11525,500,0.25,clustered,58.0,38.0,38.0,38.0,50
12,12525,500,0.25,clustered,36.0,36.0,36.0,36.0,50
13,13525,500,0.25,clustered,60.0,46.0,46.0,46.0,50
14,14525,500,0.25,clustered,38.0,30.0,30.0,30.0,50
